Región / CUT Comuna ; Nombre Comuna / ACT;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
;Alojamiento turístico;0;0;0;0;0;*;*;*;*;*;0;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Actividades de provisión de alimentos y bebidas;*;*;*;*;*;0;0;0;0;0;0;0;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Transporte de pasajeros por ferrocarril;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Transporte de pasajeros por carretera;0;0;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;0;0;;;;;;;;;;;;;;;;;;;
;Transporte de pasajeros por agua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Transporte aéreo de pasajeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Alquiler de equipos de transporte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Actividades de agencias de viajes y de otros servicios de reservas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;*;0;*;*;*;;;;;;;;;;;;;;;;;;;
;Actividades culturales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Actividades deportivas y recreativas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Comercio al por menor de bienes característicos del turismo;0;*;*;0;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Actividades relacionadas con segundos hogares y multipropiedades;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
1404;Huara;0;4.730;0;0;0;0;0;0;0;0;0;0;12.822;13.074;13.923;11.674;8.425;13.422;12.694;;;-100,00%;;;;;;;;;;;2,00%;6,50%;-16,10%;-27,80%;59,30%;-5,40%
;Alojamiento turístico;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;0;*;*;;;;;;;;;;;;;;;;;;;
;Actividades de provisión de alimentos y bebidas;*;4.730;0;0;0;0;0;0;0;0;0;0;12.822;13.074;13.923;11.674;8.425;13.422;12.694;;;-100,00%;;;;;;;;;;;2,00%;6,50%;-16,10%;-27,80%;59,30%;-5,40%
;Transporte de pasajeros por ferrocarril;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Transporte de pasajeros por carretera;0;0;0;0;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Transporte de pasajeros por agua;0;0;0;0;0;0;0;0;0;0;*;*;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Transporte aéreo de pasajeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Alquiler de equipos de transporte;0;0;0;0;*;*;*;*;*;0;0;0;0;0;0;0;0;*;*;;;;;;;;;;;;;;;;;;;
;Actividades de agencias de viajes y de otros servicios de reservas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Actividades culturales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;*;*;;;;;;;;;;;;;;;;;;;
;Actividades deportivas y recreativas;0;0;0;0;0;0;0;0;0;0;0;*;*;*;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Comercio al por menor de bienes característicos del turismo;0;0;0;0;0;0;0;0;0;0;*;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Actividades relacionadas con segundos hogares y multipropiedades;0;0;0;0;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
1405;Pica;0;5.264;3.831;5.005;15.648;16.865;28.579;17.526;18.234;25.846;33.100;38.651;53.787;75.192;98.087;65.221;76.988;123.042;314.671;;;-27,20%;30,60%;212,70%;7,80%;69,50%;-38,70%;4,00%;41,70%;28,10%;16,80%;39,20%;39,80%;30,40%;-33,50%;18,00%;59,80%;155,70%
;Alojamiento turístico;*;0;0;0;10.280;8.283;15.846;0;5.414;12.613;12.634;15.630;20.977;23.706;71.390;48.737;58.944;94.480;276.506;;;;;;-19,40%;91,30%;-100,00%;;133,00%;0,20%;23,70%;34,20%;13,00%;201,10%;-31,70%;20,90%;60,30%;192,70%
;Actividades de provisión de alimentos y bebidas;*;5.264;3.831;5.005;5.367;8.582;12.733;17.526;12.820;13.233;16.729;19.814;24.838;45.189;26.697;16.484;18.044;28.563;38.165;;;-27,20%;30,60%;7,20%;59,90%;48,40%;37,60%;-26,90%;3,20%;26,40%;18,40%;25,40%;81,90%;-40,90%;-38,30%;9,50%;58,30%;33,60%
;Transporte de pasajeros por ferrocarril;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Transporte de pasajeros por carretera;*;*;*;*;*;*;*;0;*;0;3.737;3.207;7.972;6.297;0;0;0;*;*;;;;;;;;;;;;-14,20%;148,60%;-21,00%;-100,00%;;;;
;Transporte de pasajeros por agua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Transporte aéreo de pasajeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;Alquiler de equipos de transporte;0;0;0;0;0;0;0;0;0;0;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Actividades de agencias de viajes y de otros servicios de reservas;*;0;0;0;0;0;0;0;0;0;0;0;0;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Actividades culturales;0;0;0;0;0;0;0;0;0;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Actividades deportivas y recreativas;0;0;0;0;0;0;0;0;*;*;*;*;*;*;*;*;0;0;*;;;;;;;;;;;;;;;;;;;
;Comercio al por menor de bienes característicos del turismo;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
;Actividades relacionadas con segundos hogares y multipropiedades;*;*;*;*;*;*;*;*;*;*;*;*;0;0;*;*;*;*;*;;;;;;;;;;;;;;;;;;;
Región de Antofagasta;;5.678.772;6.395.206;7.473.217;9.213.039;10.561.263;11.046.296;15.169.523;19.132.588;20.765.986;21.388.032;31.581.488;31.495.431;26.665.436;21.217.389;20.489.456;17.781.385;22.858.668;24.407.909;26.089.313;;12,60%;16,90%;23,30%;14,60%;4,60%;37,30%;26,10%;8,50%;3,00%;47,70%;-0,30%;-15,30%;-20,40%;-3,40%;-13,20%;28,60%;6,80%;6,90%
2101;Antofagasta;3.805.115;4.392.038;5.205.102;6.501.552;7.790.896;8.093.637;11.139.996;13.825.501;15.159.744;15.570.789;21.045.386;22.126.932;17.350.759;13.499.908;12.852.156;12.061.393;15.467.632;16.208.750;16.515.006;;15,40%;18,50%;24,90%;19,80%;3,90%;37,60%;24,10%;9,70%;2,70%;35,20%;5,10%;-21,60%;-22,20%;-4,80%;-6,20%;28,20%;4,80%;1,90%
;Alojamiento turístico;380.798;257.590;637.673;827.734;1.368.713;1.514.410;1.806.804;1.534.129;1.294.188;1.896.660;1.172.624;863.138;505.439;1.179.562;1.357.749;1.183.927;1.559.422;1.784.486;2.007.809;;-32,40%;147,60%;29,80%;65,40%;10,60%;19,30%;-15,10%;-15,60%;46,60%;-38,20%;-26,40%;-41,40%;133,40%;15,10%;-12,80%;31,70%;14,40%;12,50%
;Actividades de provisión de alimentos y bebidas;1.155.289;1.332.558;1.195.813;1.330.593;1.324.757;1.523.311;1.685.870;1.954.708;2.742.628;2.519.789;3.413.799;3.497.857;3.268.169;3.623.159;3.554.172;2.226.614;3.681.412;4.339.664;4.696.377;;15,30%;-10,30%;11,30%;-0,40%;15,00%;10,70%;15,90%;40,30%;-8,10%;35,50%;2,50%;-6,60%;10,90%;-1,90%;-37,40%;65,30%;17,90%;8,20%
;Transporte de pasajeros por ferrocarril;0;0;*;*;*;*;*;*;*;*;*;*;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
