Marca temporal;  ¿Cuál es su edad?  ;¿Con qué género se identifica usted?  ;  ¿En qué comuna reside actualmente?  ;  Alojamiento y estadía  ;Responda esta pregunta solo si en la anterior seleccionó “Sí”.  ;¿Qué tipo de alojamiento utilizó?  ;Transporte: $  ;Alojamiento: $  ;Alimentación: $  ;Compras (vino, recuerdos, artesanías): $  ;Seguridad ;Limpieza  ;Comodidad  ;Programación artística  ;Acceso a baños  ;"¿Estás de acuerdo con la afirmación: ""La Vendimia refuerza la identidad cultural de San Fernando""? "
05-02-2025 21:00;51;;Las condes;Sí;7;Cabaña/Airbnb;30000;500000;100000;0;3;4;5;2;3;5
05-02-2025 21:02;31;;San Fernando;No;0;Casa propia ;0;0;15000;50000;5;5;5;4;5;5
05-02-2025 21:03;44;;San Fernando;No;0;Casa de amigos o familiares;0;0;20000;20000;4;4;5;4;4;5
05-02-2025 21:03;26;;San Fernando;No;0;Casa de amigos o familiares;0;0;0;0;1;2;3;1;5;1
05-02-2025 21:08;17;;Chimbarongo ;No;0;Casa de amigos o familiares;0;0;22000;26000;3;3;3;2;2;5
05-02-2025 21:10;44;;San Fernando;No;0;Casa propia ;0;0;40000;40000;5;5;5;1;1;5
05-02-2025 21:11;37;;San Fernando;No;0;Casa de amigos o familiares;1000;0;5000;13000;5;5;5;4;5;5
05-02-2025 21:13;63;;San Fernando;No;0;Casa de amigos o familiares;0;0;5000;0;5;5;5;3;3;5
05-02-2025 21:14;34;;San Fernando;No;0;Casa de amigos o familiares;1000;0;1000;1000;5;5;5;5;5;5
05-02-2025 21:14;23;;Santa Cruz ;Sí;3;Casa de amigos o familiares;7000;0;10000;15000;5;5;5;2;3;5
05-02-2025 21:20;25;;San Fernando;No;0;Casa de amigos o familiares;0;0;15000;10000;4;4;3;1;2;5
05-02-2025 21:21;24;;San Fernando;No;0;Casa de amigos o familiares;0;0;15000;0;5;5;3;2;3;5
05-02-2025 21:21;39;;San Fernando;No;0;Casa propia ;0;0;30000;13000;5;5;5;1;1;5
05-02-2025 21:24;18;;San Fernando;No;0;Casa propia ;0;0;10000;5000;5;5;5;4;4;5
05-02-2025 21:25;21;;San Fernando;No;0;Casa propia ;0;0;15000;5000;5;5;5;4;4;5
